anio,salario_manuf,po_tot,po_manuf,pib_tot,pib_manuf,salario_anual_tot
2007,2.491666667,45246080,7420913,14844627.68,2483685.95,187909.5033
2008,2.6,44798686,6997919,14981468.53,2477780.925,186281.11
2009,2.25,46343704,6946946,14221255.85,2469945.875,187801.9092
2010,2.45,45911934,7067898,14950555.43,2460221.875,175943.8052
2011,2.583333333,48307467,7334547,15499474.53,2440374.85,177524.9397
2012,2.575,48822271,7530471,16031219.15,2361541.05,174344.5423
2013,2.75,49945599,7919277,16284717.03,2271673.8,174486.5557
2014,2.783333333,49823798,7943142,16749897.15,2213474.975,174271.703
2015,2.433333333,51568519,8309088,17304581.3,2200399.075,176478.995
2016,2.258333333,52123674,8528629,17718787.35,2247864.025,175235.7027
2017,2.4,52865845,8752268,18132136.98,2316908.9,175264.3846
2018,2.516666667,54194608,9090533,18526322.63,2367195.575,177294.0686
2019,2.725,55683450,9172562,18517060.33,2392814.775,181562.7331
2020,2.7,53331429,8708562,16949728.08,2416954.125,182000